,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,guess,guess-sentiment
776,The Trials of Henry Kissinger is a remarkable piece of filmmaking ... because you get it .,6285,4,90,"['the', 'trials', 'henry', 'kissinger', 'remarkable', 'piece', 'filmmaking', 'because', 'you', 'get']","Counter({'because': 1, 'kissinger': 1, 'remarkable': 1, 'get': 1, 'trials': 1, 'filmmaking': 1, 'henry': 1, 'the': 1, 'piece': 1, 'you': 1})",10,4.0,0.0
777,"Handled correctly , Wilde 's play is a masterpiece of elegant wit and artifice .",1989,4,80,"['handled', 'correctly', 'wilde', 'play', 'masterpiece', 'elegant', 'wit', 'and', 'artifice']","Counter({'and': 1, 'play': 1, 'handled': 1, 'wit': 1, 'elegant': 1, 'masterpiece': 1, 'wilde': 1, 'correctly': 1, 'artifice': 1})",9,4.0,0.0
778,"If you already like this sort of thing , this is that sort of thing all over again .",4215,2,84,"['you', 'already', 'like', 'this', 'sort', 'thing', 'this', 'that', 'sort', 'thing', 'all', 'over', 'again']","Counter({'sort': 2, 'this': 2, 'thing': 2, 'again': 1, 'all': 1, 'already': 1, 'like': 1, 'that': 1, 'over': 1, 'you': 1})",10,3.0,1.0
779,An incredibly irritating comedy about thoroughly vacuous people ... manages to embody the worst excesses of nouvelle vague without any of its sense of fun or energy .,1002,3,166,"['incredibly', 'irritating', 'comedy', 'about', 'thoroughly', 'vacuous', 'people', 'manages', 'embody', 'the', 'worst', 'excesses', 'nouvelle', 'vague', 'without', 'any', 'its', 'sense', 'fun', 'energy']","Counter({'fun': 1, 'about': 1, 'incredibly': 1, 'energy': 1, 'people': 1, 'any': 1, 'thoroughly': 1, 'nouvelle': 1, 'sense': 1, 'vague': 1, 'its': 1, 'manages': 1, 'worst': 1, 'vacuous': 1, 'embody': 1, 'excesses': 1, 'the': 1, 'comedy': 1, 'without': 1, 'irritating': 1})",20,4.0,1.0
780,This low-rent -- and even lower-wit -- rip-off of the Farrelly brothers ' oeuvre gets way too mushy -- and in a relatively short amount of time .,4483,2,145,"['this', 'lowrent', 'and', 'even', 'lowerwit', 'ripoff', 'the', 'farrelly', 'brothers', 'oeuvre', 'gets', 'way', 'too', 'mushy', 'and', 'relatively', 'short', 'amount', 'time']","Counter({'and': 2, 'lowrent': 1, 'short': 1, 'relatively': 1, 'brothers': 1, 'this': 1, 'mushy': 1, 'even': 1, 'farrelly': 1, 'lowerwit': 1, 'amount': 1, 'oeuvre': 1, 'way': 1, 'time': 1, 'ripoff': 1, 'gets': 1, 'the': 1, 'too': 1})",18,3.0,1.0
781,A party-hearty teen flick that scalds like acid .,1208,3,49,"['partyhearty', 'teen', 'flick', 'that', 'scalds', 'like', 'acid']","Counter({'teen': 1, 'flick': 1, 'scalds': 1, 'like': 1, 'that': 1, 'partyhearty': 1, 'acid': 1})",7,2.0,-1.0
782,"After sitting through this sloppy , made-for-movie comedy special , it makes me wonder if Lawrence hates criticism so much that he refuses to evaluate his own work .",4876,3,165,"['after', 'sitting', 'through', 'this', 'sloppy', 'madeformovie', 'comedy', 'special', 'makes', 'wonder', 'lawrence', 'hates', 'criticism', 'much', 'that', 'refuses', 'evaluate', 'his', 'own', 'work']","Counter({'criticism': 1, 'his': 1, 'work': 1, 'sitting': 1, 'this': 1, 'evaluate': 1, 'after': 1, 'lawrence': 1, 'sloppy': 1, 'madeformovie': 1, 'that': 1, 'much': 1, 'through': 1, 'hates': 1, 'own': 1, 'refuses': 1, 'comedy': 1, 'makes': 1, 'special': 1, 'wonder': 1})",20,3.0,0.0
783,"As a film director , LaBute continues to improve .",1452,3,50,"['film', 'director', 'labute', 'continues', 'improve']","Counter({'director': 1, 'continues': 1, 'labute': 1, 'film': 1, 'improve': 1})",5,3.0,0.0
784,"A funny , triumphant , and moving documentary .",5715,4,47,"['funny', 'triumphant', 'and', 'moving', 'documentary']","Counter({'and': 1, 'funny': 1, 'moving': 1, 'documentary': 1, 'triumphant': 1})",5,4.0,0.0
785,P.T. Anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,3444,4,188,"['anderson', 'understands', 'the', 'grandness', 'romance', 'and', 'how', 'love', 'the', 'great', 'equalizer', 'that', 'can', 'calm', 'our', 'daily', 'ills', 'and', 'bring', 'out', 'joys', 'our', 'lives', 'that', 'never', 'knew', 'were', 'possible']","Counter({'and': 2, 'our': 2, 'that': 2, 'the': 2, 'equalizer': 1, 'love': 1, 'ills': 1, 'bring': 1, 'out': 1, 'joys': 1, 'romance': 1, 'how': 1, 'anderson': 1, 'calm': 1, 'never': 1, 'grandness': 1, 'knew': 1, 'great': 1, 'possible': 1, 'lives': 1, 'understands': 1, 'daily': 1, 'can': 1, 'were': 1})",24,4.0,0.0
786,A knowing sense of humor and a lot of warmth ignite Son of the Bride .,1723,4,70,"['knowing', 'sense', 'humor', 'and', 'lot', 'warmth', 'ignite', 'son', 'the', 'bride']","Counter({'knowing': 1, 'and': 1, 'humor': 1, 'ignite': 1, 'son': 1, 'bride': 1, 'lot': 1, 'sense': 1, 'the': 1, 'warmth': 1})",10,4.0,0.0
787,Weighty and ponderous but every bit as filling as the treat of the title .,1480,4,74,"['weighty', 'and', 'ponderous', 'but', 'every', 'bit', 'filling', 'the', 'treat', 'the', 'title']","Counter({'the': 2, 'and': 1, 'title': 1, 'but': 1, 'filling': 1, 'every': 1, 'ponderous': 1, 'bit': 1, 'weighty': 1, 'treat': 1})",10,4.0,0.0
788,See it .,325,4,8,['see'],Counter({'see': 1}),1,4.0,0.0
789,"In a summer of clones , Harvard Man is something rare and riveting : a wild ride that relies on more than special effects .",3958,4,123,"['summer', 'clones', 'harvard', 'man', 'something', 'rare', 'and', 'riveting', 'wild', 'ride', 'that', 'relies', 'more', 'than', 'special', 'effects']","Counter({'and': 1, 'summer': 1, 'rare': 1, 'relies': 1, 'that': 1, 'riveting': 1, 'ride': 1, 'effects': 1, 'wild': 1, 'harvard': 1, 'something': 1, 'clones': 1, 'more': 1, 'than': 1, 'special': 1, 'man': 1})",16,3.0,-1.0
790,"The complex , politically charged tapestry of contemporary Chinese life this exciting new filmmaker has brought to the screen is like nothing we Westerners have seen before .",5247,4,174,"['the', 'complex', 'politically', 'charged', 'tapestry', 'contemporary', 'chinese', 'life', 'this', 'exciting', 'new', 'filmmaker', 'has', 'brought', 'the', 'screen', 'like', 'nothing', 'westerners', 'have', 'seen', 'before']","Counter({'the': 2, 'has': 1, 'life': 1, 'exciting': 1, 'like': 1, 'chinese': 1, 'this': 1, 'before': 1, 'screen': 1, 'contemporary': 1, 'filmmaker': 1, 'brought': 1, 'westerners': 1, 'complex': 1, 'have': 1, 'seen': 1, 'nothing': 1, 'new': 1, 'politically': 1, 'tapestry': 1, 'charged': 1})",21,4.0,0.0
791,Always destined to be measured against Anthony Asquith 's acclaimed 1952 screen adaptation .,3729,3,92,"['always', 'destined', 'measured', 'against', 'anthony', 'asquith', 'acclaimed', '1952', 'screen', 'adaptation']","Counter({'asquith': 1, 'acclaimed': 1, 'always': 1, 'screen': 1, 'against': 1, 'anthony': 1, 'adaptation': 1, 'destined': 1, '1952': 1, 'measured': 1})",10,4.0,1.0
792,May seriously impair your ability to ever again maintain a straight face while speaking to a highway patrolman .,5948,3,112,"['may', 'seriously', 'impair', 'your', 'ability', 'ever', 'again', 'maintain', 'straight', 'face', 'while', 'speaking', 'highway', 'patrolman']","Counter({'again': 1, 'ability': 1, 'patrolman': 1, 'may': 1, 'straight': 1, 'while': 1, 'face': 1, 'impair': 1, 'seriously': 1, 'maintain': 1, 'highway': 1, 'ever': 1, 'your': 1, 'speaking': 1})",14,3.0,0.0
793,"After all , he took three minutes of dialogue , 30 seconds of plot and turned them into a 90-minute movie that feels five hours long .",842,2,134,"['after', 'all', 'took', 'three', 'minutes', 'dialogue', 'seconds', 'plot', 'and', 'turned', 'them', 'into', '90minute', 'movie', 'that', 'feels', 'five', 'hours', 'long']","Counter({'and': 1, 'plot': 1, 'all': 1, 'feels': 1, '90minute': 1, 'seconds': 1, 'turned': 1, 'into': 1, 'after': 1, 'dialogue': 1, 'took': 1, 'long': 1, 'three': 1, 'hours': 1, 'that': 1, 'them': 1, 'movie': 1, 'five': 1, 'minutes': 1})",19,3.0,1.0
794,An incredibly narrow in-joke targeted to the tiniest segment of an already obscure demographic .,5686,2,96,"['incredibly', 'narrow', 'injoke', 'targeted', 'the', 'tiniest', 'segment', 'already', 'obscure', 'demographic']","Counter({'narrow': 1, 'tiniest': 1, 'targeted': 1, 'demographic': 1, 'injoke': 1, 'already': 1, 'the': 1, 'incredibly': 1, 'segment': 1, 'obscure': 1})",10,2.0,0.0
795,Likely to have decades of life as a classic movie franchise ?,6246,4,61,"['likely', 'have', 'decades', 'life', 'classic', 'movie', 'franchise', '?']","Counter({'life': 1, 'classic': 1, 'movie': 1, 'likely': 1, 'have': 1, 'franchise': 1, 'decades': 1, '?': 1})",8,3.0,-1.0
796,Serious movie-goers embarking upon this journey will find that The Road to Perdition leads to a satisfying destination .,7133,4,120,"['serious', 'moviegoers', 'embarking', 'upon', 'this', 'journey', 'will', 'find', 'that', 'the', 'road', 'perdition', 'leads', 'satisfying', 'destination']","Counter({'leads': 1, 'satisfying': 1, 'that': 1, 'this': 1, 'destination': 1, 'upon': 1, 'find': 1, 'will': 1, 'journey': 1, 'perdition': 1, 'serious': 1, 'the': 1, 'moviegoers': 1, 'embarking': 1, 'road': 1})",15,4.0,0.0
797,An amused indictment of Jaglom 's own profession .,7417,3,50,"['amused', 'indictment', 'jaglom', 'own', 'profession']","Counter({'jaglom': 1, 'own': 1, 'indictment': 1, 'profession': 1, 'amused': 1})",5,3.0,0.0
798,"When you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .",2821,2,104,"['when', 'you', 'find', 'yourself', 'rooting', 'for', 'the', 'monsters', 'horror', 'movie', 'you', 'know', 'the', 'picture', 'trouble']","Counter({'the': 2, 'you': 2, 'picture': 1, 'for': 1, 'rooting': 1, 'movie': 1, 'horror': 1, 'when': 1, 'yourself': 1, 'monsters': 1, 'trouble': 1, 'know': 1, 'find': 1})",13,3.0,1.0
799,Why would anyone cast the magnificent Jackie Chan in a movie full of stunt doubles and special effects ?,2421,4,104,"['why', 'would', 'anyone', 'cast', 'the', 'magnificent', 'jackie', 'chan', 'movie', 'full', 'stunt', 'doubles', 'and', 'special', 'effects', '?']","Counter({'and': 1, 'doubles': 1, 'full': 1, 'would': 1, 'chan': 1, 'magnificent': 1, 'jackie': 1, 'anyone': 1, 'cast': 1, 'effects': 1, 'movie': 1, 'stunt': 1, 'the': 1, 'why': 1, 'special': 1, '?': 1})",16,3.0,-1.0
800,Real Women Have Curves does n't offer any easy answers .,6569,3,56,"['real', 'women', 'have', 'curves', 'does', 'offer', 'any', 'easy', 'answers']","Counter({'real': 1, 'easy': 1, 'offer': 1, 'curves': 1, 'does': 1, 'answers': 1, 'have': 1, 'any': 1, 'women': 1})",9,4.0,1.0
801,... a fairly disposable yet still entertaining B picture .,4306,3,58,"['fairly', 'disposable', 'yet', 'still', 'entertaining', 'picture']","Counter({'fairly': 1, 'picture': 1, 'disposable': 1, 'entertaining': 1, 'still': 1, 'yet': 1})",6,4.0,1.0
802,"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",7211,4,107,"['think', 'gidget', 'only', 'with', 'muscles', 'and', 'lot', 'more', 'smarts', 'but', 'just', 'endearing', 'and', 'easy', 'watch']","Counter({'and': 2, 'muscles': 1, 'smarts': 1, 'easy': 1, 'just': 1, 'watch': 1, 'only': 1, 'but': 1, 'gidget': 1, 'lot': 1, 'with': 1, 'think': 1, 'endearing': 1, 'more': 1})",14,3.0,-1.0
803,"Blessed with a searing lead performance by Ryan Gosling -LRB- Murder by Numbers -RRB- , the movie is powerful and provocative .",5921,4,127,"['blessed', 'with', 'searing', 'lead', 'performance', 'ryan', 'gosling', 'lrb', 'murder', 'numbers', 'rrb', 'the', 'movie', 'powerful', 'and', 'provocative']","Counter({'and': 1, 'powerful': 1, 'lrb': 1, 'provocative': 1, 'lead': 1, 'movie': 1, 'searing': 1, 'blessed': 1, 'ryan': 1, 'rrb': 1, 'gosling': 1, 'murder': 1, 'numbers': 1, 'performance': 1, 'the': 1, 'with': 1})",16,4.0,0.0
804,"If Welles was unhappy at the prospect of the human race splitting in two , he probably would n't be too crazy with his great-grandson 's movie splitting up in pretty much the same way .",2909,3,185,"['welles', 'was', 'unhappy', 'the', 'prospect', 'the', 'human', 'race', 'splitting', 'two', 'probably', 'would', 'too', 'crazy', 'with', 'his', 'greatgrandson', 'movie', 'splitting', 'pretty', 'much', 'the', 'same', 'way']","Counter({'the': 3, 'splitting': 2, 'prospect': 1, 'welles': 1, 'his': 1, 'much': 1, 'pretty': 1, 'would': 1, 'same': 1, 'with': 1, 'crazy': 1, 'greatgrandson': 1, 'unhappy': 1, 'two': 1, 'way': 1, 'race': 1, 'too': 1, 'human': 1, 'movie': 1, 'probably': 1, 'was': 1})",21,3.0,0.0
805,"A formula family tearjerker told with a heavy Irish brogue ... accentuating , rather than muting , the plot 's saccharine thrust .",7143,3,130,"['formula', 'family', 'tearjerker', 'told', 'with', 'heavy', 'irish', 'brogue', 'accentuating', 'rather', 'than', 'muting', 'the', 'plot', 'saccharine', 'thrust']","Counter({'heavy': 1, 'plot': 1, 'irish': 1, 'family': 1, 'rather': 1, 'thrust': 1, 'tearjerker': 1, 'brogue': 1, 'muting': 1, 'saccharine': 1, 'accentuating': 1, 'formula': 1, 'the': 1, 'with': 1, 'than': 1, 'told': 1})",16,3.0,0.0
806,"Washington overcomes the script 's flaws and envelops the audience in his character 's anguish , anger and frustration .",5821,3,120,"['washington', 'overcomes', 'the', 'script', 'flaws', 'and', 'envelops', 'the', 'audience', 'his', 'character', 'anguish', 'anger', 'and', 'frustration']","Counter({'and': 2, 'the': 2, 'his': 1, 'flaws': 1, 'script': 1, 'character': 1, 'washington': 1, 'anger': 1, 'audience': 1, 'frustration': 1, 'overcomes': 1, 'anguish': 1, 'envelops': 1})",13,4.0,1.0
807,"This odd , poetic road movie , spiked by jolts of pop music , pretty much takes place in Morton 's ever-watchful gaze -- and it 's a tribute to the actress , and to her inventive director , that the journey is such a mesmerizing one .",4612,4,234,"['this', 'odd', 'poetic', 'road', 'movie', 'spiked', 'jolts', 'pop', 'music', 'pretty', 'much', 'takes', 'place', 'morton', 'everwatchful', 'gaze', 'and', 'tribute', 'the', 'actress', 'and', 'her', 'inventive', 'director', 'that', 'the', 'journey', 'such', 'mesmerizing', 'one']","Counter({'and': 2, 'the': 2, 'inventive': 1, 'actress': 1, 'one': 1, 'morton': 1, 'odd': 1, 'takes': 1, 'her': 1, 'movie': 1, 'everwatchful': 1, 'poetic': 1, 'gaze': 1, 'music': 1, 'pretty': 1, 'place': 1, 'tribute': 1, 'that': 1, 'jolts': 1, 'much': 1, 'director': 1, 'journey': 1, 'pop': 1, 'such': 1, 'mesmerizing': 1, 'this': 1, 'spiked': 1, 'road': 1})",28,4.0,0.0
808,"De Ayala is required to supply too much of the energy in a film that is , overall , far too staid for its subject matter .",1894,2,122,"['ayala', 'required', 'supply', 'too', 'much', 'the', 'energy', 'film', 'that', 'overall', 'far', 'too', 'staid', 'for', 'its', 'subject', 'matter']","Counter({'too': 2, 'for': 1, 'ayala': 1, 'supply': 1, 'far': 1, 'energy': 1, 'required': 1, 'overall': 1, 'staid': 1, 'matter': 1, 'that': 1, 'much': 1, 'the': 1, 'its': 1, 'film': 1, 'subject': 1})",16,3.0,1.0
809,"Cinematic pyrotechnics aside , the only thing Avary seems to care about are mean giggles and pulchritude .",2599,3,106,"['cinematic', 'pyrotechnics', 'aside', 'the', 'only', 'thing', 'avary', 'seems', 'care', 'about', 'are', 'mean', 'giggles', 'and', 'pulchritude']","Counter({'and': 1, 'giggles': 1, 'about': 1, 'avary': 1, 'pyrotechnics': 1, 'seems': 1, 'aside': 1, 'cinematic': 1, 'thing': 1, 'only': 1, 'are': 1, 'the': 1, 'mean': 1, 'pulchritude': 1, 'care': 1})",15,3.0,0.0
810,It 's hard to imagine another director ever making his wife look so bad in a major movie .,6100,3,90,"['hard', 'imagine', 'another', 'director', 'ever', 'making', 'his', 'wife', 'look', 'bad', 'major', 'movie']","Counter({'major': 1, 'his': 1, 'look': 1, 'wife': 1, 'movie': 1, 'hard': 1, 'director': 1, 'bad': 1, 'another': 1, 'imagine': 1, 'making': 1, 'ever': 1})",12,3.0,0.0
811,"Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .",4126,3,124,"['try', 'you', 'might', 'resist', 'you', 'got', 'place', 'your', 'heart', 'for', 'smokey', 'robinson', 'this', 'movie', 'will', 'worm', 'its', 'way', 'there']","Counter({'you': 2, 'resist': 1, 'smokey': 1, 'for': 1, 'heart': 1, 'this': 1, 'robinson': 1, 'there': 1, 'worm': 1, 'its': 1, 'try': 1, 'will': 1, 'place': 1, 'way': 1, 'movie': 1, 'got': 1, 'might': 1, 'your': 1})",18,3.0,0.0
812,"-LRB- A -RRB- wonderfully loopy tale of love , longing , and voting .",1018,4,69,"['lrb', 'rrb', 'wonderfully', 'loopy', 'tale', 'love', 'longing', 'and', 'voting']","Counter({'and': 1, 'longing': 1, 'lrb': 1, 'love': 1, 'rrb': 1, 'tale': 1, 'loopy': 1, 'wonderfully': 1, 'voting': 1})",9,4.0,0.0
813,"A vibrant whirlwind of love , family and all that goes with it , My Big Fat Greek Wedding is a non-stop funny feast of warmth , colour and cringe .",3926,4,147,"['vibrant', 'whirlwind', 'love', 'family', 'and', 'all', 'that', 'goes', 'with', 'big', 'fat', 'greek', 'wedding', 'nonstop', 'funny', 'feast', 'warmth', 'colour', 'and', 'cringe']","Counter({'and': 2, 'funny': 1, 'all': 1, 'love': 1, 'family': 1, 'that': 1, 'vibrant': 1, 'colour': 1, 'wedding': 1, 'feast': 1, 'fat': 1, 'greek': 1, 'cringe': 1, 'goes': 1, 'big': 1, 'with': 1, 'warmth': 1, 'nonstop': 1, 'whirlwind': 1})",19,4.0,0.0
814,An entertainment so in love with its overinflated mythology that it no longer recognizes the needs of moviegoers for real characters and compelling plots .,5562,4,155,"['entertainment', 'love', 'with', 'its', 'overinflated', 'mythology', 'that', 'longer', 'recognizes', 'the', 'needs', 'moviegoers', 'for', 'real', 'characters', 'and', 'compelling', 'plots']","Counter({'real': 1, 'and': 1, 'needs': 1, 'love': 1, 'overinflated': 1, 'for': 1, 'entertainment': 1, 'moviegoers': 1, 'that': 1, 'compelling': 1, 'characters': 1, 'plots': 1, 'recognizes': 1, 'the': 1, 'mythology': 1, 'with': 1, 'its': 1, 'longer': 1})",18,4.0,0.0
815,No cliche escapes the perfervid treatment of gang warfare called ces Wild .,3119,2,75,"['cliche', 'escapes', 'the', 'perfervid', 'treatment', 'gang', 'warfare', 'called', 'ces', 'wild']","Counter({'warfare': 1, 'escapes': 1, 'perfervid': 1, 'cliche': 1, 'ces': 1, 'gang': 1, 'wild': 1, 'the': 1, 'called': 1, 'treatment': 1})",10,3.0,1.0
816,"Eccentric enough to stave off doldrums , Caruso 's self-conscious debut is also eminently forgettable .",4359,3,103,"['eccentric', 'enough', 'stave', 'off', 'doldrums', 'caruso', 'selfconscious', 'debut', 'also', 'eminently', 'forgettable']","Counter({'doldrums': 1, 'off': 1, 'eminently': 1, 'eccentric': 1, 'forgettable': 1, 'debut': 1, 'stave': 1, 'also': 1, 'enough': 1, 'selfconscious': 1, 'caruso': 1})",11,3.0,0.0
817,"It would be disingenuous to call Reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .",2404,4,135,"['would', 'disingenuous', 'call', 'reno', 'great', 'film', 'but', 'you', 'can', 'say', 'that', 'about', 'most', 'the', 'flicks', 'moving', 'and', 'out', 'the', 'multiplex']","Counter({'the': 2, 'and': 1, 'great': 1, 'disingenuous': 1, 'would': 1, 'that': 1, 'multiplex': 1, 'about': 1, 'reno': 1, 'most': 1, 'say': 1, 'call': 1, 'but': 1, 'flicks': 1, 'moving': 1, 'you': 1, 'out': 1, 'film': 1, 'can': 1})",19,4.0,0.0
818,It 's only in fairy tales that princesses that are married for political reason live happily ever after .,4373,4,105,"['only', 'fairy', 'tales', 'that', 'princesses', 'that', 'are', 'married', 'for', 'political', 'reason', 'live', 'happily', 'ever', 'after']","Counter({'that': 2, 'live': 1, 'after': 1, 'for': 1, 'happily': 1, 'tales': 1, 'married': 1, 'political': 1, 'reason': 1, 'only': 1, 'are': 1, 'princesses': 1, 'fairy': 1, 'ever': 1})",14,3.0,-1.0
819,"In the wake of Saving Private Ryan , Black Hawk Down and We Were Soldiers , you are likely to be as heartily sick of mayhem as Cage 's war-weary marine .",7663,3,153,"['the', 'wake', 'saving', 'private', 'ryan', 'black', 'hawk', 'down', 'and', 'were', 'soldiers', 'you', 'are', 'likely', 'heartily', 'sick', 'mayhem', 'cage', 'warweary', 'marine']","Counter({'and': 1, 'saving': 1, 'warweary': 1, 'marine': 1, 'cage': 1, 'ryan': 1, 'down': 1, 'mayhem': 1, 'likely': 1, 'wake': 1, 'private': 1, 'sick': 1, 'were': 1, 'heartily': 1, 'black': 1, 'the': 1, 'hawk': 1, 'soldiers': 1, 'you': 1, 'are': 1})",20,3.0,0.0
820,There are some movies that hit you from the first scene and you know it 's going to be a trip .,6104,3,95,"['there', 'are', 'some', 'movies', 'that', 'hit', 'you', 'from', 'the', 'first', 'scene', 'and', 'you', 'know', 'going', 'trip']","Counter({'you': 2, 'and': 1, 'hit': 1, 'that': 1, 'there': 1, 'some': 1, 'scene': 1, 'know': 1, 'trip': 1, 'movies': 1, 'going': 1, 'are': 1, 'from': 1, 'the': 1, 'first': 1})",15,3.0,0.0
821,"Like many such biographical melodramas , it suffers from the awkwardness that results from adhering to the messiness of true stories .",8177,3,134,"['like', 'many', 'such', 'biographical', 'melodramas', 'suffers', 'from', 'the', 'awkwardness', 'that', 'results', 'from', 'adhering', 'the', 'messiness', 'true', 'stories']","Counter({'from': 2, 'the': 2, 'messiness': 1, 'suffers': 1, 'like': 1, 'awkwardness': 1, 'many': 1, 'that': 1, 'adhering': 1, 'results': 1, 'stories': 1, 'biographical': 1, 'such': 1, 'true': 1, 'melodramas': 1})",15,3.0,0.0
822,Interesting and thoroughly unfaithful version of Carmen,5958,4,55,"['interesting', 'and', 'thoroughly', 'unfaithful', 'version', 'carmen']","Counter({'and': 1, 'interesting': 1, 'version': 1, 'thoroughly': 1, 'unfaithful': 1, 'carmen': 1})",6,3.0,-1.0
823,These people are really going to love The Piano Teacher .,4545,4,57,"['these', 'people', 'are', 'really', 'going', 'love', 'the', 'piano', 'teacher']","Counter({'love': 1, 'people': 1, 'these': 1, 'teacher': 1, 'going': 1, 'are': 1, 'the': 1, 'piano': 1, 'really': 1})",9,4.0,0.0
824,Highly engaging .,6980,4,17,"['highly', 'engaging']","Counter({'engaging': 1, 'highly': 1})",2,4.0,0.0
825,You can sip your vintage wines and watch your Merchant Ivory productions ; I 'll settle for a nice cool glass of iced tea and a Jerry Bruckheimer flick any day of the week .,765,4,173,"['you', 'can', 'sip', 'your', 'vintage', 'wines', 'and', 'watch', 'your', 'merchant', 'ivory', 'productions', 'settle', 'for', 'nice', 'cool', 'glass', 'iced', 'tea', 'and', 'jerry', 'bruckheimer', 'flick', 'any', 'day', 'the', 'week']","Counter({'and': 2, 'your': 2, 'flick': 1, 'tea': 1, 'productions': 1, 'any': 1, 'sip': 1, 'for': 1, 'iced': 1, 'vintage': 1, 'jerry': 1, 'you': 1, 'nice': 1, 'merchant': 1, 'ivory': 1, 'wines': 1, 'watch': 1, 'glass': 1, 'day': 1, 'cool': 1, 'bruckheimer': 1, 'settle': 1, 'week': 1, 'can': 1, 'the': 1})",25,3.0,-1.0
826,"A tired , unimaginative and derivative variation of that already-shallow genre .",6832,2,80,"['tired', 'unimaginative', 'and', 'derivative', 'variation', 'that', 'alreadyshallow', 'genre']","Counter({'unimaginative': 1, 'and': 1, 'that': 1, 'tired': 1, 'variation': 1, 'alreadyshallow': 1, 'genre': 1, 'derivative': 1})",8,2.0,0.0
827,"Makes the same mistake as the music industry it criticizes , becoming so slick and watered-down it almost loses what made you love it in the first place .",5751,3,154,"['makes', 'the', 'same', 'mistake', 'the', 'music', 'industry', 'criticizes', 'becoming', 'slick', 'and', 'watereddown', 'almost', 'loses', 'what', 'made', 'you', 'love', 'the', 'first', 'place']","Counter({'the': 3, 'and': 1, 'what': 1, 'made': 1, 'love': 1, 'criticizes': 1, 'almost': 1, 'industry': 1, 'slick': 1, 'same': 1, 'loses': 1, 'music': 1, 'place': 1, 'you': 1, 'watereddown': 1, 'first': 1, 'makes': 1, 'becoming': 1, 'mistake': 1})",19,4.0,1.0
828,"In addition to sporting one of the worst titles in recent cinematic history , Ballistic : Ecks Vs. Sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase .",3189,3,251,"['addition', 'sporting', 'one', 'the', 'worst', 'titles', 'recent', 'cinematic', 'history', 'ballistic', 'ecks', 'sever', 'also', 'features', 'terrible', 'banal', 'dialogue', 'convenient', 'holeridden', 'plotting', 'superficial', 'characters', 'and', 'rather', 'dull', 'unimaginative', 'car', 'chase']","Counter({'and': 1, 'unimaginative': 1, 'features': 1, 'sporting': 1, 'one': 1, 'titles': 1, 'banal': 1, 'sever': 1, 'chase': 1, 'superficial': 1, 'addition': 1, 'convenient': 1, 'also': 1, 'ballistic': 1, 'holeridden': 1, 'plotting': 1, 'dialogue': 1, 'cinematic': 1, 'worst': 1, 'characters': 1, 'ecks': 1, 'dull': 1, 'recent': 1, 'car': 1, 'terrible': 1, 'rather': 1, 'the': 1, 'history': 1})",28,3.0,0.0
829,-LRB- Allen 's -RRB- best works understand why snobbery is a better satiric target than middle-America diversions could ever be .,810,3,129,"['lrb', 'allen', 'rrb', 'best', 'works', 'understand', 'why', 'snobbery', 'better', 'satiric', 'target', 'than', 'middleamerica', 'diversions', 'could', 'ever']","Counter({'lrb': 1, 'snobbery': 1, 'target': 1, 'diversions': 1, 'could': 1, 'rrb': 1, 'than': 1, 'better': 1, 'middleamerica': 1, 'understand': 1, 'satiric': 1, 'allen': 1, 'works': 1, 'ever': 1, 'why': 1, 'best': 1})",16,4.0,1.0
830,Could this be the first major studio production shot on video tape instead of film ?,4552,3,84,"['could', 'this', 'the', 'first', 'major', 'studio', 'production', 'shot', 'video', 'tape', 'instead', 'film', '?']","Counter({'major': 1, 'tape': 1, 'shot': 1, 'this': 1, 'could': 1, 'production': 1, 'studio': 1, '?': 1, 'instead': 1, 'video': 1, 'the': 1, 'film': 1, 'first': 1})",13,3.0,0.0
831,at this nonsensical story,4479,2,25,"['this', 'nonsensical', 'story']","Counter({'this': 1, 'story': 1, 'nonsensical': 1})",3,4.0,2.0
832,A cheap scam put together by some cynical creeps at Revolution Studios and Imagine Entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life .,3743,2,179,"['cheap', 'scam', 'put', 'together', 'some', 'cynical', 'creeps', 'revolution', 'studios', 'and', 'imagine', 'entertainment', 'make', 'the', 'suckers', 'out', 'there', 'surrender', 'and', 'minutes', 'unrecoverable', 'life']","Counter({'and': 2, 'studios': 1, 'revolution': 1, 'scam': 1, 'unrecoverable': 1, 'cynical': 1, 'entertainment': 1, 'cheap': 1, 'make': 1, 'there': 1, 'some': 1, 'suckers': 1, 'together': 1, 'imagine': 1, 'put': 1, 'creeps': 1, 'the': 1, 'surrender': 1, 'minutes': 1, 'life': 1, 'out': 1})",21,3.0,1.0
