,phrase,sentence_id,sentiment,length,word_list,word_counter,num_unique_words,unique_word_density,guess,guess-sentiment
1224,"The Lady and the Duke is a smart , romantic drama that dares to depict the French Revolution from the aristocrats ' perspective .",7213,3,129,"['the', 'lady', 'and', 'the', 'duke', 'smart', 'romantic', 'drama', 'that', 'dares', 'depict', 'the', 'french', 'revolution', 'from', 'the', 'aristocrats', 'perspective']","Counter({'the': 4, 'and': 1, 'duke': 1, 'depict': 1, 'from': 1, 'romantic': 1, 'that': 1, 'french': 1, 'drama': 1, 'revolution': 1, 'aristocrats': 1, 'dares': 1, 'lady': 1, 'smart': 1, 'perspective': 1})",15,0,4.0,1.0
1225,An indispensable peek at the art and the agony of making people laugh .,7015,3,71,"['indispensable', 'peek', 'the', 'art', 'and', 'the', 'agony', 'making', 'people', 'laugh']","Counter({'the': 2, 'and': 1, 'peek': 1, 'art': 1, 'people': 1, 'agony': 1, 'indispensable': 1, 'laugh': 1, 'making': 1})",9,0,3.0,0.0
1226,"Feels like the work of an artist who is simply tired -- of fighting the same fights , of putting the weight of the world on his shoulders , of playing with narrative form .",154,3,172,"['feels', 'like', 'the', 'work', 'artist', 'who', 'simply', 'tired', 'fighting', 'the', 'same', 'fights', 'putting', 'the', 'weight', 'the', 'world', 'his', 'shoulders', 'playing', 'with', 'narrative', 'form']","Counter({'the': 4, 'shoulders': 1, 'who': 1, 'like': 1, 'weight': 1, 'artist': 1, 'with': 1, 'work': 1, 'fights': 1, 'fighting': 1, 'narrative': 1, 'feels': 1, 'his': 1, 'simply': 1, 'same': 1, 'form': 1, 'world': 1, 'putting': 1, 'tired': 1, 'playing': 1})",20,0,3.0,0.0
1227,The only young people who possibly will enjoy it are infants ... who might be distracted by the movie 's quick movements and sounds .,7834,4,133,"['the', 'only', 'young', 'people', 'who', 'possibly', 'will', 'enjoy', 'are', 'infants', 'who', 'might', 'distracted', 'the', 'movie', 'quick', 'movements', 'and', 'sounds']","Counter({'who': 2, 'the': 2, 'enjoy': 1, 'and': 1, 'distracted': 1, 'people': 1, 'movie': 1, 'young': 1, 'will': 1, 'possibly': 1, 'only': 1, 'are': 1, 'infants': 1, 'quick': 1, 'might': 1, 'sounds': 1, 'movements': 1})",17,0,3.0,-1.0
1228,"Has an uppity musical beat that you can dance to , but its energy ca n't compare to the wit , humor and snappy dialogue of the original .",3532,4,137,"['has', 'uppity', 'musical', 'beat', 'that', 'you', 'can', 'dance', 'but', 'its', 'energy', 'compare', 'the', 'wit', 'humor', 'and', 'snappy', 'dialogue', 'the', 'original']","Counter({'the': 2, 'and': 1, 'compare': 1, 'humor': 1, 'that': 1, 'beat': 1, 'snappy': 1, 'energy': 1, 'original': 1, 'dialogue': 1, 'but': 1, 'its': 1, 'dance': 1, 'wit': 1, 'uppity': 1, 'you': 1, 'has': 1, 'musical': 1, 'can': 1})",19,0,4.0,0.0
1229,"Nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives .",7115,3,167,"['nothing', 'but', 'one', 'relentlessly', 'depressing', 'situation', 'after', 'another', 'for', 'its', 'entire', 'running', 'time', 'something', 'that', 'you', 'could', 'easily', 'dealing', 'with', 'right', 'now', 'your', 'lives']","Counter({'right': 1, 'dealing': 1, 'one': 1, 'something': 1, 'another': 1, 'its': 1, 'for': 1, 'your': 1, 'time': 1, 'you': 1, 'that': 1, 'after': 1, 'but': 1, 'depressing': 1, 'running': 1, 'lives': 1, 'nothing': 1, 'now': 1, 'with': 1, 'entire': 1, 'could': 1, 'relentlessly': 1, 'easily': 1, 'situation': 1})",24,1,3.0,0.0
1230,... an enjoyably frothy ` date movie ' ...,5085,4,42,"['enjoyably', 'frothy', 'date', 'movie']","Counter({'date': 1, 'movie': 1, 'enjoyably': 1, 'frothy': 1})",4,1,4.0,0.0
1231,"While American Adobo has its heart -LRB- and its palate -RRB- in the right place , its brain is a little scattered -- ditsy , even .",7327,4,132,"['while', 'american', 'adobo', 'has', 'its', 'heart', 'lrb', 'and', 'its', 'palate', 'rrb', 'the', 'right', 'place', 'its', 'brain', 'little', 'scattered', 'ditsy', 'even']","Counter({'its': 3, 'and': 1, 'heart': 1, 'little': 1, 'lrb': 1, 'even': 1, 'ditsy': 1, 'scattered': 1, 'american': 1, 'adobo': 1, 'rrb': 1, 'brain': 1, 'while': 1, 'palate': 1, 'right': 1, 'place': 1, 'the': 1, 'has': 1})",18,0,3.0,-1.0
1232,I like this movie a lot .,5143,4,25,"['like', 'this', 'movie', 'lot']","Counter({'this': 1, 'movie': 1, 'like': 1, 'lot': 1})",4,1,3.0,-1.0
1233,Reno himself can take credit for most of the movie 's success .,6635,3,63,"['reno', 'himself', 'can', 'take', 'credit', 'for', 'most', 'the', 'movie', 'success']","Counter({'himself': 1, 'success': 1, 'for': 1, 'most': 1, 'movie': 1, 'reno': 1, 'credit': 1, 'can': 1, 'the': 1, 'take': 1})",10,1,4.0,1.0
1234,"Wewannour money back , actually .",6392,2,33,"['wewannour', 'money', 'back', 'actually']","Counter({'money': 1, 'wewannour': 1, 'back': 1, 'actually': 1})",4,1,2.0,0.0
1235,As refreshing as a drink from a woodland stream .,3256,3,49,"['refreshing', 'drink', 'from', 'woodland', 'stream']","Counter({'woodland': 1, 'drink': 1, 'from': 1, 'refreshing': 1, 'stream': 1})",5,1,4.0,1.0
1236,It 's drab .,6475,1,12,['drab'],Counter({'drab': 1}),1,1,0.0,-1.0
1237,"You leave the same way you came -- a few tasty morsels under your belt , but no new friends .",3898,3,93,"['you', 'leave', 'the', 'same', 'way', 'you', 'came', 'few', 'tasty', 'morsels', 'under', 'your', 'belt', 'but', 'new', 'friends']","Counter({'you': 2, 'morsels': 1, 'same': 1, 'your': 1, 'leave': 1, 'few': 1, 'tasty': 1, 'but': 1, 'way': 1, 'under': 1, 'new': 1, 'friends': 1, 'the': 1, 'came': 1, 'belt': 1})",15,0,3.0,0.0
1238,So bland and utterly forgettable that it might as well have been titled Generic Jennifer Lopez Romantic Comedy .,1560,3,112,"['bland', 'and', 'utterly', 'forgettable', 'that', 'might', 'well', 'have', 'been', 'titled', 'generic', 'jennifer', 'lopez', 'romantic', 'comedy']","Counter({'and': 1, 'titled': 1, 'have': 1, 'that': 1, 'generic': 1, 'forgettable': 1, 'well': 1, 'been': 1, 'jennifer': 1, 'utterly': 1, 'bland': 1, 'comedy': 1, 'might': 1, 'lopez': 1, 'romantic': 1})",15,1,3.0,0.0
1239,"Trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness .",3204,4,135,"['trapped', 'score', 'points', 'for', 'political', 'correctness', 'but', 'may', 'cause', 'parents', 'few', 'sleepless', 'hours', 'sign', 'its', 'effectiveness']","Counter({'for': 1, 'trapped': 1, 'may': 1, 'correctness': 1, 'sleepless': 1, 'political': 1, 'but': 1, 'sign': 1, 'hours': 1, 'few': 1, 'score': 1, 'parents': 1, 'effectiveness': 1, 'cause': 1, 'its': 1, 'points': 1})",16,1,3.0,-1.0
1240,Constantly slips from the grasp of its maker .,4352,2,46,"['constantly', 'slips', 'from', 'the', 'grasp', 'its', 'maker']","Counter({'slips': 1, 'from': 1, 'constantly': 1, 'maker': 1, 'grasp': 1, 'the': 1, 'its': 1})",7,1,3.0,1.0
1241,Do we really need another film that praises female self-sacrifice ?,6317,3,67,"['really', 'need', 'another', 'film', 'that', 'praises', 'female', 'selfsacrifice', '?']","Counter({'praises': 1, 'female': 1, 'that': 1, '?': 1, 'another': 1, 'need': 1, 'selfsacrifice': 1, 'film': 1, 'really': 1})",9,1,2.0,-1.0
1242,"Unofficially , National Lampoon 's Van Wilder is Son of Animal House .",7954,2,70,"['unofficially', 'national', 'lampoon', 'van', 'wilder', 'son', 'animal', 'house']","Counter({'van': 1, 'wilder': 1, 'house': 1, 'national': 1, 'son': 1, 'lampoon': 1, 'unofficially': 1, 'animal': 1})",8,1,2.0,0.0
1243,"Like a skillful fisher , the director uses the last act to reel in the audience since its poignancy hooks us completely .",1407,4,121,"['like', 'skillful', 'fisher', 'the', 'director', 'uses', 'the', 'last', 'act', 'reel', 'the', 'audience', 'since', 'its', 'poignancy', 'hooks', 'completely']","Counter({'the': 3, 'last': 1, 'like': 1, 'poignancy': 1, 'skillful': 1, 'hooks': 1, 'since': 1, 'completely': 1, 'director': 1, 'audience': 1, 'uses': 1, 'act': 1, 'fisher': 1, 'reel': 1, 'its': 1})",15,0,3.0,-1.0
1244,Daughter From Danang sticks with its subjects a little longer and tells a deeper story,2107,3,86,"['daughter', 'from', 'danang', 'sticks', 'with', 'its', 'subjects', 'little', 'longer', 'and', 'tells', 'deeper', 'story']","Counter({'and': 1, 'danang': 1, 'little': 1, 'from': 1, 'sticks': 1, 'deeper': 1, 'story': 1, 'tells': 1, 'subjects': 1, 'daughter': 1, 'with': 1, 'its': 1, 'longer': 1})",13,1,3.0,0.0
1245,"Funny , sexy , devastating and incurably romantic .",6880,4,51,"['funny', 'sexy', 'devastating', 'and', 'incurably', 'romantic']","Counter({'and': 1, 'funny': 1, 'romantic': 1, 'incurably': 1, 'devastating': 1, 'sexy': 1})",6,1,4.0,0.0
1246,"It 's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",6153,3,109,"['hard', 'imagine', 'any', 'recent', 'film', 'independent', 'otherwise', 'that', 'makes', 'much', 'mess', 'this', 'one']","Counter({'independent': 1, 'that': 1, 'mess': 1, 'hard': 1, 'one': 1, 'this': 1, 'much': 1, 'imagine': 1, 'otherwise': 1, 'makes': 1, 'any': 1, 'film': 1, 'recent': 1})",13,1,3.0,0.0
1247,"Such a fine idea for a film , and such a stultifying , lifeless execution .",6825,4,75,"['such', 'fine', 'idea', 'for', 'film', 'and', 'such', 'stultifying', 'lifeless', 'execution']","Counter({'such': 2, 'and': 1, 'for': 1, 'idea': 1, 'lifeless': 1, 'stultifying': 1, 'execution': 1, 'fine': 1, 'film': 1})",9,0,4.0,0.0
1248,The same should go for movie theaters .,2742,3,39,"['the', 'same', 'should', 'for', 'movie', 'theaters']","Counter({'for': 1, 'movie': 1, 'same': 1, 'should': 1, 'theaters': 1, 'the': 1})",6,1,3.0,0.0
1249,"Engages us in constant fits of laughter , until we find ourselves surprised at how much we care about the story , and end up walking out not only satisfied but also somewhat touched .",3679,4,183,"['engages', 'constant', 'fits', 'laughter', 'until', 'find', 'ourselves', 'surprised', 'how', 'much', 'care', 'about', 'the', 'story', 'and', 'end', 'walking', 'out', 'not', 'only', 'satisfied', 'but', 'also', 'somewhat', 'touched']","Counter({'and': 1, 'walking': 1, 'constant': 1, 'satisfied': 1, 'fits': 1, 'engages': 1, 'ourselves': 1, 'out': 1, 'story': 1, 'end': 1, 'also': 1, 'find': 1, 'how': 1, 'only': 1, 'much': 1, 'touched': 1, 'until': 1, 'surprised': 1, 'but': 1, 'somewhat': 1, 'not': 1, 'care': 1, 'about': 1, 'the': 1, 'laughter': 1})",25,1,4.0,0.0
1250,Too bad .,2724,2,9,"['too', 'bad']","Counter({'bad': 1, 'too': 1})",2,1,3.0,1.0
1251,"Full of bland hotels , highways , parking lots , with some glimpses of nature and family warmth , Time Out is a discreet moan of despair about entrapment in the maze of modern life .",3970,3,182,"['full', 'bland', 'hotels', 'highways', 'parking', 'lots', 'with', 'some', 'glimpses', 'nature', 'and', 'family', 'warmth', 'time', 'out', 'discreet', 'moan', 'despair', 'about', 'entrapment', 'the', 'maze', 'modern', 'life']","Counter({'and': 1, 'family': 1, 'modern': 1, 'some': 1, 'highways': 1, 'parking': 1, 'bland': 1, 'out': 1, 'moan': 1, 'lots': 1, 'maze': 1, 'hotels': 1, 'warmth': 1, 'life': 1, 'full': 1, 'nature': 1, 'discreet': 1, 'glimpses': 1, 'with': 1, 'about': 1, 'entrapment': 1, 'despair': 1, 'time': 1, 'the': 1})",24,1,4.0,1.0
1252,"Twohy 's a good yarn-spinner , and ultimately the story compels .",1985,3,65,"['twohy', 'good', 'yarnspinner', 'and', 'ultimately', 'the', 'story', 'compels']","Counter({'and': 1, 'ultimately': 1, 'good': 1, 'yarnspinner': 1, 'compels': 1, 'story': 1, 'the': 1, 'twohy': 1})",8,1,4.0,1.0
1253,"Frankly , it 's pretty stupid .",5560,1,31,"['frankly', 'pretty', 'stupid']","Counter({'stupid': 1, 'pretty': 1, 'frankly': 1})",3,1,2.0,1.0
1254,The ingenuity that Parker displays in freshening the play is almost in a class with that of Wilde himself .,3816,4,107,"['the', 'ingenuity', 'that', 'parker', 'displays', 'freshening', 'the', 'play', 'almost', 'class', 'with', 'that', 'wilde', 'himself']","Counter({'that': 2, 'the': 2, 'play': 1, 'parker': 1, 'almost': 1, 'ingenuity': 1, 'freshening': 1, 'himself': 1, 'wilde': 1, 'displays': 1, 'with': 1, 'class': 1})",12,0,3.0,-1.0
1255,"It 's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast .",4910,3,111,"['dull', 'spiritless', 'silly', 'and', 'monotonous', 'ultraloud', 'blast', 'pointless', 'mayhem', 'going', 'nowhere', 'fast']","Counter({'and': 1, 'blast': 1, 'monotonous': 1, 'fast': 1, 'mayhem': 1, 'going': 1, 'silly': 1, 'nowhere': 1, 'spiritless': 1, 'ultraloud': 1, 'pointless': 1, 'dull': 1})",12,1,2.0,-1.0
1256,Good-naturedly cornball sequel .,1138,3,32,"['goodnaturedly', 'cornball', 'sequel']","Counter({'cornball': 1, 'sequel': 1, 'goodnaturedly': 1})",3,1,1.0,-2.0
1257,"Collateral Damage offers formula payback and the Big Payoff , but the explosions tend to simply hit their marks , pyro-correctly .",6747,3,130,"['collateral', 'damage', 'offers', 'formula', 'payback', 'and', 'the', 'big', 'payoff', 'but', 'the', 'explosions', 'tend', 'simply', 'hit', 'their', 'marks', 'pyrocorrectly']","Counter({'the': 2, 'and': 1, 'collateral': 1, 'hit': 1, 'pyrocorrectly': 1, 'big': 1, 'damage': 1, 'but': 1, 'tend': 1, 'their': 1, 'offers': 1, 'simply': 1, 'marks': 1, 'payback': 1, 'formula': 1, 'explosions': 1, 'payoff': 1})",17,0,3.0,0.0
1258,"It 's about individual moments of mood , and an aimlessness that 's actually sort of amazing .",3250,4,94,"['about', 'individual', 'moments', 'mood', 'and', 'aimlessness', 'that', 'actually', 'sort', 'amazing']","Counter({'and': 1, 'sort': 1, 'about': 1, 'mood': 1, 'that': 1, 'moments': 1, 'actually': 1, 'amazing': 1, 'individual': 1, 'aimlessness': 1})",10,1,3.0,-1.0
1259,"Witless , pointless , tasteless and idiotic .",3812,2,45,"['witless', 'pointless', 'tasteless', 'and', 'idiotic']","Counter({'and': 1, 'pointless': 1, 'witless': 1, 'idiotic': 1, 'tasteless': 1})",5,1,3.0,1.0
1260,`` The turntable is now outselling the electric guitar ... '',5179,3,61,"['the', 'turntable', 'now', 'outselling', 'the', 'electric', 'guitar']","Counter({'the': 2, 'electric': 1, 'outselling': 1, 'guitar': 1, 'turntable': 1, 'now': 1})",6,0,3.0,0.0
1261,"They just have problems , which are neither original nor are presented in convincing way .",1743,3,90,"['they', 'just', 'have', 'problems', 'which', 'are', 'neither', 'original', 'nor', 'are', 'presented', 'convincing', 'way']","Counter({'are': 2, 'they': 1, 'just': 1, 'presented': 1, 'convincing': 1, 'problems': 1, 'way': 1, 'have': 1, 'which': 1, 'neither': 1, 'original': 1, 'nor': 1})",12,0,3.0,0.0
1262,To show these characters in the act and give them no feelings of remorse -- and to cut repeatedly to the flashback of the original rape -- is overkill to the highest degree .,6312,3,174,"['show', 'these', 'characters', 'the', 'act', 'and', 'give', 'them', 'feelings', 'remorse', 'and', 'cut', 'repeatedly', 'the', 'flashback', 'the', 'original', 'rape', 'overkill', 'the', 'highest', 'degree']","Counter({'the': 4, 'and': 2, 'them': 1, 'cut': 1, 'degree': 1, 'show': 1, 'these': 1, 'highest': 1, 'give': 1, 'feelings': 1, 'overkill': 1, 'remorse': 1, 'repeatedly': 1, 'characters': 1, 'act': 1, 'original': 1, 'flashback': 1, 'rape': 1})",18,0,3.0,0.0
1263,I firmly believe that a good video game movie is going to show up soon .,6196,4,72,"['firmly', 'believe', 'that', 'good', 'video', 'game', 'movie', 'going', 'show', 'soon']","Counter({'good': 1, 'that': 1, 'movie': 1, 'show': 1, 'soon': 1, 'game': 1, 'going': 1, 'video': 1, 'believe': 1, 'firmly': 1})",10,1,3.0,-1.0
1264,"It looks like an action movie , but it 's so poorly made , on all levels , that it does n't even qualify as a spoof of such .",5052,3,125,"['looks', 'like', 'action', 'movie', 'but', 'poorly', 'made', 'all', 'levels', 'that', 'does', 'even', 'qualify', 'spoof', 'such']","Counter({'even': 1, 'all': 1, 'made': 1, 'like': 1, 'that': 1, 'movie': 1, 'but': 1, 'does': 1, 'qualify': 1, 'levels': 1, 'looks': 1, 'action': 1, 'such': 1, 'spoof': 1, 'poorly': 1})",15,1,3.0,0.0
1265,"Though the film is static , its writer-director 's heart is in the right place , his plea for democracy and civic action laudable .",7622,4,131,"['though', 'the', 'film', 'static', 'its', 'writerdirector', 'heart', 'the', 'right', 'place', 'his', 'plea', 'for', 'democracy', 'and', 'civic', 'action', 'laudable']","Counter({'the': 2, 'and': 1, 'heart': 1, 'right': 1, 'democracy': 1, 'for': 1, 'though': 1, 'civic': 1, 'his': 1, 'static': 1, 'laudable': 1, 'plea': 1, 'action': 1, 'place': 1, 'its': 1, 'film': 1, 'writerdirector': 1})",17,0,3.0,-1.0
1266,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",2203,4,181,"['creates', 'visceral', 'sense', 'its', 'characters', 'lives', 'and', 'conflicted', 'emotions', 'that', 'carries', 'far', 'above', 'what', 'could', 'have', 'been', 'melodramatic', 'lifetime', 'channelstyle', 'anthology']","Counter({'and': 1, 'what': 1, 'conflicted': 1, 'above': 1, 'anthology': 1, 'that': 1, 'far': 1, 'could': 1, 'melodramatic': 1, 'emotions': 1, 'creates': 1, 'channelstyle': 1, 'carries': 1, 'have': 1, 'lives': 1, 'been': 1, 'characters': 1, 'sense': 1, 'lifetime': 1, 'visceral': 1, 'its': 1})",21,1,4.0,0.0
1267,"Think The Lion King redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by Bryan Adams , the world 's most generic rock star .",4006,4,174,"['think', 'the', 'lion', 'king', 'redone', 'for', 'horses', 'with', 'fewer', 'deliberate', 'laughs', 'more', 'inadvertent', 'ones', 'and', 'stunningly', 'trite', 'songs', 'bryan', 'adams', 'the', 'world', 'most', 'generic', 'rock', 'star']","Counter({'the': 2, 'and': 1, 'laughs': 1, 'redone': 1, 'lion': 1, 'inadvertent': 1, 'for': 1, 'deliberate': 1, 'generic': 1, 'more': 1, 'horses': 1, 'star': 1, 'bryan': 1, 'rock': 1, 'most': 1, 'ones': 1, 'world': 1, 'with': 1, 'king': 1, 'adams': 1, 'fewer': 1, 'stunningly': 1, 'trite': 1, 'think': 1, 'songs': 1})",25,0,3.0,-1.0
1268,"The story plays out slowly , but the characters are intriguing and realistic .",6462,4,78,"['the', 'story', 'plays', 'out', 'slowly', 'but', 'the', 'characters', 'are', 'intriguing', 'and', 'realistic']","Counter({'the': 2, 'and': 1, 'story': 1, 'plays': 1, 'intriguing': 1, 'but': 1, 'realistic': 1, 'slowly': 1, 'are': 1, 'characters': 1, 'out': 1})",11,0,4.0,0.0
1269,"An ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance .",407,3,145,"['ambitious', 'serious', 'film', 'that', 'manages', 'virtually', 'everything', 'wrong', 'sitting', 'through', 'something', 'akin', 'act', 'cinematic', 'penance']","Counter({'penance': 1, 'that': 1, 'sitting': 1, 'cinematic': 1, 'act': 1, 'everything': 1, 'wrong': 1, 'manages': 1, 'through': 1, 'virtually': 1, 'ambitious': 1, 'akin': 1, 'serious': 1, 'film': 1, 'something': 1})",15,1,3.0,0.0
1270,"A tired , unimaginative and derivative variation of that already-shallow genre .",6832,2,80,"['tired', 'unimaginative', 'and', 'derivative', 'variation', 'that', 'alreadyshallow', 'genre']","Counter({'unimaginative': 1, 'and': 1, 'that': 1, 'tired': 1, 'variation': 1, 'alreadyshallow': 1, 'genre': 1, 'derivative': 1})",8,1,2.0,0.0
1271,Absolutely -LRB- and unintentionally -RRB- terrifying .,3445,2,55,"['absolutely', 'lrb', 'and', 'unintentionally', 'rrb', 'terrifying']","Counter({'and': 1, 'lrb': 1, 'absolutely': 1, 'rrb': 1, 'terrifying': 1, 'unintentionally': 1})",6,1,3.0,1.0
1272,Reggio and Glass put on an intoxicating show .,2213,3,46,"['reggio', 'and', 'glass', 'put', 'intoxicating', 'show']","Counter({'and': 1, 'show': 1, 'glass': 1, 'reggio': 1, 'put': 1, 'intoxicating': 1})",6,1,4.0,1.0
1273,"The leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .",1190,2,175,"['the', 'leads', 'are', 'unmemorable', 'despite', 'several', 'attempts', 'lengthy', 'dialogue', 'scenes', 'that', 'one', 'eventually', 'resents', 'having', 'inhale', 'this', 'gutter', 'romancer', 'secondhand', 'material']","Counter({'one': 1, 'eventually': 1, 'lengthy': 1, 'inhale': 1, 'secondhand': 1, 'that': 1, 'this': 1, 'material': 1, 'gutter': 1, 'dialogue': 1, 'scenes': 1, 'leads': 1, 'attempts': 1, 'resents': 1, 'unmemorable': 1, 'are': 1, 'despite': 1, 'the': 1, 'several': 1, 'having': 1, 'romancer': 1})",21,1,3.0,1.0
1274,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",7589,4,215,"['more', 'timely', 'than', 'its', 'director', 'could', 'ever', 'have', 'dreamed', 'this', 'quietly', 'lyrical', 'tale', 'probes', 'the', 'ambiguous', 'welcome', 'extended', 'iran', 'the', 'afghani', 'refugees', 'who', 'streamed', 'across', 'its', 'borders', 'desperate', 'for', 'work', 'and', 'food']","Counter({'its': 2, 'the': 2, 'and': 1, 'quietly': 1, 'streamed': 1, 'desperate': 1, 'dreamed': 1, 'have': 1, 'for': 1, 'who': 1, 'lyrical': 1, 'afghani': 1, 'borders': 1, 'ever': 1, 'across': 1, 'more': 1, 'extended': 1, 'iran': 1, 'food': 1, 'welcome': 1, 'director': 1, 'than': 1, 'probes': 1, 'timely': 1, 'ambiguous': 1, 'this': 1, 'could': 1, 'work': 1, 'tale': 1, 'refugees': 1})",30,0,4.0,0.0
1275,"An uplifting , largely bogus story .",268,3,36,"['uplifting', 'largely', 'bogus', 'story']","Counter({'bogus': 1, 'story': 1, 'uplifting': 1, 'largely': 1})",4,1,4.0,1.0
1276,I liked this film a lot ...,3771,4,27,"['liked', 'this', 'film', 'lot']","Counter({'this': 1, 'liked': 1, 'lot': 1, 'film': 1})",4,1,3.0,-1.0
1277,"Nair 's cast is so large it 's Altman-esque , but she deftly spins the multiple stories in a vibrant and intoxicating fashion .",5268,4,127,"['nair', 'cast', 'large', 'altmanesque', 'but', 'she', 'deftly', 'spins', 'the', 'multiple', 'stories', 'vibrant', 'and', 'intoxicating', 'fashion']","Counter({'and': 1, 'deftly': 1, 'fashion': 1, 'multiple': 1, 'altmanesque': 1, 'but': 1, 'large': 1, 'cast': 1, 'stories': 1, 'she': 1, 'vibrant': 1, 'the': 1, 'intoxicating': 1, 'spins': 1, 'nair': 1})",15,1,4.0,0.0
1278,"An awfully good , achingly human picture .",7512,4,42,"['awfully', 'good', 'achingly', 'human', 'picture']","Counter({'picture': 1, 'good': 1, 'achingly': 1, 'human': 1, 'awfully': 1})",5,1,4.0,0.0
1279,What little grace -LRB- Rifkin 's -RRB- tale of precarious skid-row dignity achieves is pushed into the margins by predictable plotting and tiresome histrionics .,4707,3,162,"['what', 'little', 'grace', 'lrb', 'rifkin', 'rrb', 'tale', 'precarious', 'skidrow', 'dignity', 'achieves', 'pushed', 'into', 'the', 'margins', 'predictable', 'plotting', 'and', 'tiresome', 'histrionics']","Counter({'and': 1, 'dignity': 1, 'what': 1, 'lrb': 1, 'histrionics': 1, 'margins': 1, 'tiresome': 1, 'plotting': 1, 'achieves': 1, 'precarious': 1, 'rrb': 1, 'grace': 1, 'tale': 1, 'pushed': 1, 'predictable': 1, 'into': 1, 'the': 1, 'little': 1, 'skidrow': 1, 'rifkin': 1})",20,1,3.0,0.0
1280,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",5209,4,189,"['despite', 'its', 'shortcomings', 'girls', 'swim', 'represents', 'engaging', 'and', 'intimate', 'first', 'feature', 'talented', 'director', 'watch', 'and', 'worthy', 'entry', 'the', 'french', 'comingofage', 'genre']","Counter({'and': 2, 'swim': 1, 'represents': 1, 'shortcomings': 1, 'talented': 1, 'intimate': 1, 'comingofage': 1, 'watch': 1, 'worthy': 1, 'girls': 1, 'feature': 1, 'french': 1, 'engaging': 1, 'director': 1, 'despite': 1, 'genre': 1, 'entry': 1, 'the': 1, 'its': 1, 'first': 1})",20,0,4.0,0.0
1281,` Matrix ' - style massacres erupt throughout ... but the movie has a tougher time balancing its violence with Kafka-inspired philosophy .,1148,2,138,"['matrix', 'style', 'massacres', 'erupt', 'throughout', 'but', 'the', 'movie', 'has', 'tougher', 'time', 'balancing', 'its', 'violence', 'with', 'kafkainspired', 'philosophy']","Counter({'style': 1, 'has': 1, 'matrix': 1, 'tougher': 1, 'movie': 1, 'violence': 1, 'kafkainspired': 1, 'but': 1, 'erupt': 1, 'balancing': 1, 'time': 1, 'the': 1, 'throughout': 1, 'with': 1, 'its': 1, 'philosophy': 1, 'massacres': 1})",17,1,3.0,1.0
1282,"It 's still Adam Sandler , and it 's not Little Nicky .",8153,2,55,"['still', 'adam', 'sandler', 'and', 'not', 'little', 'nicky']","Counter({'and': 1, 'little': 1, 'nicky': 1, 'not': 1, 'adam': 1, 'sandler': 1, 'still': 1})",7,1,3.0,1.0
1283,One of the worst movies of the year .,2568,1,37,"['one', 'the', 'worst', 'movies', 'the', 'year']","Counter({'the': 2, 'movies': 1, 'year': 1, 'worst': 1, 'one': 1})",5,0,3.0,2.0
1284,"is clever enough , though thin writing proves its undoing .",1009,3,59,"['clever', 'enough', 'though', 'thin', 'writing', 'proves', 'its', 'undoing']","Counter({'undoing': 1, 'clever': 1, 'though': 1, 'writing': 1, 'enough': 1, 'proves': 1, 'thin': 1, 'its': 1})",8,1,3.0,0.0
1285,"Tunney , brimming with coltish , neurotic energy , holds the screen like a true star .",2064,4,86,"['tunney', 'brimming', 'with', 'coltish', 'neurotic', 'energy', 'holds', 'the', 'screen', 'like', 'true', 'star']","Counter({'coltish': 1, 'star': 1, 'like': 1, 'true': 1, 'energy': 1, 'holds': 1, 'screen': 1, 'neurotic': 1, 'brimming': 1, 'the': 1, 'with': 1, 'tunney': 1})",12,1,4.0,0.0
1286,"One of the most plain , unimaginative romantic comedies I 've ever seen .",1146,2,73,"['one', 'the', 'most', 'plain', 'unimaginative', 'romantic', 'comedies', 'ever', 'seen']","Counter({'unimaginative': 1, 'romantic': 1, 'plain': 1, 'one': 1, 'most': 1, 'seen': 1, 'the': 1, 'ever': 1, 'comedies': 1})",9,1,3.0,1.0
